Unnamed: 0,Total Confirmed,ARIMA,LSTM,GRU,prophet,Hybrid ARIMA+ANN,Proposed Model
2/27/23,44687597,48394618.00117033,46456588.0,45349264.0,60439924.0,46485830.62617033,46485862.13488178
2/28/23,44687837,48415237.026504144,46456804.0,45349436.0,60450726.0,46506449.651504144,46506481.1602156
3/1/23,44688105,48435856.05188883,46457100.0,45349660.0,60473090.0,46527068.67688883,46527100.18560028
3/2/23,44688388,48456475.07732138,46457428.0,45349920.0,60488345.0,46547687.70232138,46547719.21103284
3/3/23,44688722,48477094.10279893,46457780.0,45350180.0,60501467.0,46568306.72779893,46568338.23651038
3/4/23,44689046,48497713.12831883,46458188.0,45350500.0,60512726.0,46588925.75331883,46588957.26203029
3/5/23,44689327,48518332.15387855,46458584.0,45350810.0,60521692.0,46609544.77887855,46609576.28759
3/6/23,44689593,48538951.179475725,46458940.0,45351080.0,60522162.0,46630163.804475725,46630195.31318718
3/7/23,44689919,48559570.205108136,46459264.0,45351332.0,60527290.0,46650782.830108136,46650814.33881959
3/8/23,44690298,48580189.23077369,46459668.0,45351640.0,60544305.0,46671401.85577369,46671433.364485145
3/9/23,44690738,48600808.25647042,46460132.0,45351996.0,60554573.0,46692020.88147042,46692052.39018187
